window,entry_z,exit_z,annual_return,annual_volatility,sharpe_ratio,max_drawdown
10,2.0,1.0,0.06443772256961067,0.08780674111691371,0.7338584913863566,-0.08159562760964145
40,2.0,0.25,0.07832571271753763,0.1772888937988989,0.4417970637595805,-0.28319045639322493
20,2.0,0.5,0.06667345268322977,0.16421227178206002,0.40601991531861725,-0.28319045639322515
30,2.0,0.25,0.07234168898814786,0.1801660845773724,0.40152778564203456,-0.28319045639322515
40,2.0,0.5,0.056317474983636595,0.17216337743813034,0.3271164624071991,-0.28319045639322493
30,2.0,0.5,0.050218801719815964,0.1768617341217599,0.2839438500882446,-0.28319045639322515
30,2.0,1.0,0.04151225622687771,0.1569324711713098,0.2645230519664877,-0.28319045639322515
10,2.0,0.25,0.028892441384294365,0.14298209556689326,0.2020703450298588,-0.22244985622759983
20,2.0,0.25,0.03514348115228305,0.17478696748343986,0.20106465406588572,-0.28319045639322515
10,1.5,1.0,0.025356594832545154,0.13046301903968727,0.19435848579306292,-0.10409484285410653
20,2.0,1.0,0.02775804067144705,0.1463936513138058,0.18961232555055002,-0.22244985622759983
10,2.0,0.5,0.022571176616554167,0.13907132560387403,0.16229928433158916,-0.22244985622759972
40,1.5,0.25,0.027983951278317543,0.19016178070359796,0.14715865183201912,-0.28319045639322493
40,2.0,1.0,0.010693397267109495,0.15687896078265967,0.06816336119107866,-0.28319045639322493
40,1.5,0.5,0.0068153330844824556,0.18441386483212732,0.03695672823020373,-0.28319045639322493
30,1.5,0.25,0.0058824627892182235,0.19246166837098436,0.030564334389325428,-0.28319045639322504
20,1.5,0.5,-0.010298187373578127,0.18267701911701834,-0.056373743251094795,-0.307980625154478
40,1.0,0.5,-0.013872416089112716,0.19585488361341602,-0.07083007496761984,-0.28319045639322493
30,1.0,0.25,-0.015916511882526407,0.20318413791709136,-0.07833540573438409,-0.28319045639322504
10,1.5,0.5,-0.014434414637709003,0.17129921715242005,-0.08426433510706256,-0.22955683414012706
10,1.5,0.25,-0.01681388616559709,0.1790652140137861,-0.09389811560107147,-0.23326250582664987
30,1.5,0.5,-0.021273637083485508,0.1890834544732927,-0.11250924700283772,-0.28319045639322504
40,1.5,1.0,-0.018949955916060746,0.16722545758105373,-0.11331980303821715,-0.28319045639322493
40,1.0,0.25,-0.023987370464068847,0.20014135537731387,-0.11985214359544519,-0.28319045639322493
20,1.5,1.0,-0.02331240142879687,0.1621181610500588,-0.14379882721219908,-0.22244985622759983
30,1.5,1.0,-0.027686426880560222,0.16980646599513483,-0.16304695300209282,-0.30479196480043325
30,1.0,0.5,-0.0413294065137243,0.1993927509206672,-0.20727637450655423,-0.28319045639322504
20,1.5,0.25,-0.04038157113632779,0.1916751845893962,-0.21067709533100284,-0.28319045639322515
20,1.0,0.5,-0.06053561591868439,0.19195424120729407,-0.3153648262103838,-0.3128637706489188
10,1.0,0.5,-0.06210290949415653,0.19068515689513313,-0.3256829766163178,-0.32337676973531415
10,1.0,0.25,-0.07636617486325414,0.19542109160438484,-0.3907775472764816,-0.33717188798119413
20,1.0,0.25,-0.08148531943095594,0.19963409321765146,-0.4081733641663922,-0.3770839168403425
