pair,ticker1,ticker2,cointegration_score,cointegration_pvalue,best_window,best_entry_z,best_exit_z,train_annual_return,train_sharpe,train_max_drawdown,test_annual_return,test_sharpe,test_max_drawdown
JPM-MA,JPM,MA,-3.17049907088066,0.07500144655721835,30,2.0,0.25,0.13418709284609265,1.0245048191401553,-0.13111948257776074,0.21528099651523358,2.158296745097829,-0.047880488859048165
JPM-V,JPM,V,-3.3022986642893044,0.05442005783520343,30,2.0,0.25,0.10077818151212514,0.8890946179445052,-0.09305816087728891,0.07535167074241866,1.0593516246959855,-0.03849908375897926
MA-IVV,MA,IVV,-3.5519748941917832,0.02805775869714083,40,2.0,1.0,0.054792831459973046,0.648822754875194,-0.14250094719811623,0.04770874089817556,0.7561091529594366,-0.053930115267977086
MA-SPY,MA,SPY,-3.5530944037953116,0.027970080878077022,40,2.0,1.0,0.05907432667377588,0.6953808047580966,-0.14246952771622745,0.04761400382270686,0.7541306088568531,-0.05393559001063264
JPM-SPY,JPM,SPY,-3.110903444077169,0.08613380199476506,40,2.0,0.25,0.05227554027796355,0.4409913164751755,-0.16115091468495113,0.06587167170989927,0.6790901542068893,-0.046463800286605905
JPM-IVV,JPM,IVV,-3.1024665430243314,0.08780848204545777,40,2.0,0.25,0.04014194923075931,0.33794717960553483,-0.1612163548051243,0.0653436336080091,0.6727114187884687,-0.04707221919473581
PEP-XOM,PEP,XOM,-3.81110099198548,0.01310088294295421,10,2.0,0.5,-0.025575784899898646,-0.3051086544613055,-0.23050243289655958,0.03555989861262909,0.5481917445224995,-0.05305535558536689
PEP-CVX,PEP,CVX,-3.854658616462358,0.011443702803709339,10,1.5,0.5,0.09051882648746501,0.9250550330805105,-0.1887317229325879,-0.05735883418717236,-0.6489981482905011,-0.0968421475269593
KO-PEP,KO,PEP,-3.1736756135967634,0.07444154108973815,30,2.0,0.5,-0.00639942173669894,-0.08875228988960483,-0.12525019450454056,-0.04735680396188646,-0.8388203525970566,-0.044143616581189815
KO-CVX,KO,CVX,-3.8016891887787576,0.013485731577581515,40,2.0,0.25,0.018568591666947576,0.17635519122728058,-0.2022721344537728,-0.058657683811843775,-0.9232586043846828,-0.06694407930724144
V-MA,V,MA,-3.4936820719114197,0.03295958344581246,10,1.5,1.0,0.0027396907517835967,0.05080437421342494,-0.10452663692062203,-0.09836935768907373,-1.7822169804066348,-0.08938860661551651
KO-XOM,KO,XOM,-3.5980721700707528,0.024636485129126827,10,2.0,1.0,-0.01741585049603489,-0.2576594431725382,-0.1669117387201282,-0.10413552333284248,-2.2270663663208694,-0.0857069621563713
