window,entry_z,exit_z,annual_return,annual_volatility,sharpe_ratio,max_drawdown
30,2.0,0.5,0.027480038221216585,0.1299494786821659,0.21146709090251944,-0.2594524535988808
30,1.5,0.5,0.02921470592548392,0.1419963811694622,0.205742608965635,-0.2594524535988809
30,1.0,0.25,0.030493094791835373,0.15141398090610494,0.2013888982335442,-0.2594524535988808
30,1.0,0.5,0.027306645741530966,0.1490425967507848,0.18321370089378278,-0.2594524535988808
30,1.5,0.25,0.021880505642466463,0.14598798283013084,0.14987881343580348,-0.2594524535988809
30,2.0,0.25,0.01904217118547824,0.13387701998904744,0.14223629407822264,-0.2594524535988808
40,1.0,0.25,0.02171553480084465,0.1602949540916181,0.13547235422290918,-0.2594524535988807
40,2.0,1.0,0.010970629371943819,0.11984991291545884,0.09153639835919124,-0.2594524535988807
20,1.5,0.25,0.01073431378645573,0.14514721091754282,0.07395466794435218,-0.2594524535988807
40,2.0,0.5,0.007680043121038427,0.1323907031431703,0.058010441358054075,-0.2594524535988807
40,1.0,0.5,-0.0015449935474878274,0.15230837871982317,-0.01014385131319597,-0.2594524535988807
20,2.0,0.25,-0.002585046160566984,0.13236318068226957,-0.019529948942313823,-0.2594524535988809
40,2.0,0.25,-0.006805361154655798,0.1398629857395437,-0.04865734217435419,-0.2594524535988807
20,1.0,0.25,-0.008182217317294405,0.15286237724642104,-0.0535266915554002,-0.2594524535988807
10,2.0,0.25,-0.00586250567453428,0.08612324446243344,-0.06807111960455087,-0.1266695909789206
40,1.5,1.0,-0.013184145910318468,0.1285302571135787,-0.10257620428369636,-0.2594524535988807
30,1.5,1.0,-0.016295916102279873,0.1256443294566976,-0.12969877886845774,-0.2594524535988807
40,1.5,0.5,-0.021194644462558365,0.14172900349058615,-0.14954345222617857,-0.2594524535988808
40,1.5,0.25,-0.02550577438582713,0.14840467219540504,-0.1718663840464778,-0.2594524535988808
10,2.0,1.0,-0.012346019508596484,0.06205308402312471,-0.19895899942693604,-0.135105470271619
30,2.0,1.0,-0.025386351406121888,0.11419220704160574,-0.22231246828316764,-0.2594524535988809
10,2.0,0.5,-0.021634187232590474,0.08154281514725353,-0.26531077193646707,-0.18947735665455812
20,1.5,0.5,-0.038119997697413255,0.1382649863490926,-0.2757024659964712,-0.27288774886846656
10,1.5,0.25,-0.0468652691408058,0.13066804606094332,-0.3586589878213066,-0.24561157938656775
20,2.0,0.5,-0.051851183297527914,0.12569363866627198,-0.4125203458800132,-0.2594524535988806
10,1.5,1.0,-0.047551660113922645,0.11190455668932354,-0.42493050793220644,-0.24252535561514488
20,1.0,0.5,-0.06191988773239554,0.14487081826985362,-0.42741449569958384,-0.27288774886846656
20,1.5,1.0,-0.05350464951148137,0.11800394187477178,-0.45341408652485193,-0.2710807486991713
10,1.0,0.25,-0.06668092155951899,0.1445765973765229,-0.46121518122231714,-0.30529471701233457
10,1.5,0.5,-0.06232905451484538,0.12356712758097846,-0.5044145294548397,-0.2921099530795027
20,2.0,1.0,-0.05400562516704266,0.106841814175511,-0.5054727457016653,-0.2594524535988808
10,1.0,0.5,-0.07811423133503503,0.13893779144541735,-0.5622245072588673,-0.3366827323939111
