window,entry_z,exit_z,annual_return,annual_volatility,sharpe_ratio,max_drawdown
30,2.0,0.5,-0.006399278744657844,0.0721042262997967,-0.08875039748780839,-0.12525031608776505
40,1.0,0.25,-0.017168297183284276,0.0888078185313664,-0.19331965886787922,-0.24192031669892777
40,1.0,0.5,-0.016738835654287465,0.08302006381591853,-0.20162397961296083,-0.19620620036650627
30,1.0,0.5,-0.019472500615486443,0.09198864214388375,-0.2116837487939934,-0.2235866651672459
20,1.5,0.5,-0.022994466398538305,0.08825038754502136,-0.26055938153028013,-0.23665708695770082
20,2.0,0.25,-0.025320066935073715,0.08289905483153857,-0.3054325165290161,-0.19112353404863547
30,2.0,0.25,-0.023503935960064393,0.0753876867966825,-0.31177420290734675,-0.16334580941497723
30,1.5,0.5,-0.0247996770071518,0.07924242148309184,-0.3129596060166255,-0.17392411338762892
20,2.0,0.5,-0.026929625455204387,0.08063992994420079,-0.33394901848052794,-0.20407006041785059
30,1.0,0.25,-0.033457846898093835,0.09650094183187878,-0.346710055497522,-0.2609509110874202
20,1.5,0.25,-0.03392663230818527,0.09193484345952861,-0.3690290974729335,-0.2540043062818681
30,2.0,1.0,-0.02436801693444901,0.06439942498112547,-0.37838873470672946,-0.13357463311301743
10,2.0,1.0,-0.020283151043941294,0.051087302459190194,-0.3970292042752498,-0.13928536118772628
40,1.5,0.5,-0.03192215836285717,0.07710441208018963,-0.41401208441428344,-0.23269208259361274
30,1.5,0.25,-0.035568657864211706,0.08190491413505614,-0.4342676900382459,-0.2054075233614967
40,2.0,0.5,-0.033511036586983844,0.06112820544582942,-0.5482090688345276,-0.15401942396715584
20,1.0,0.5,-0.05389918508902625,0.09476140126437708,-0.5687883924241647,-0.30997356861138203
40,1.5,0.25,-0.04630478910578806,0.08129293751096404,-0.5696040827598694,-0.2797920903889197
20,1.0,0.25,-0.0591228412540491,0.09807760578436937,-0.6028169303401929,-0.30597273818686366
40,1.5,1.0,-0.04170597878692017,0.06363018440157893,-0.6554433116790602,-0.18553457385751826
30,1.5,1.0,-0.04652782774977504,0.07068764676379746,-0.6582172399266257,-0.20474882517721915
40,2.0,1.0,-0.03875216089584699,0.055202281258853604,-0.7020028885062016,-0.15025283972825743
40,2.0,0.25,-0.04793263297111283,0.0658723495544264,-0.727659379016213,-0.20357488278292224
10,1.5,1.0,-0.05863981536199381,0.07146039422400735,-0.8205918257066314,-0.22147129205213334
20,1.5,1.0,-0.06091836688127328,0.0719160173140997,-0.8470764811016551,-0.25850763714498914
20,2.0,1.0,-0.057920746424591885,0.06470096503700935,-0.8952068395187128,-0.2424422543990028
10,2.0,0.25,-0.06768015662090887,0.07323294548124748,-0.9241763550018551,-0.27357363467936446
10,1.5,0.25,-0.0821247529985566,0.08885061285797646,-0.9243014803941664,-0.2979145549729295
10,2.0,0.5,-0.074305268814426,0.06854582368305448,-1.084023282848016,-0.2866130964490521
10,1.5,0.5,-0.09247987632670018,0.08390282507595913,-1.1022260125684213,-0.3232787156965955
10,1.0,0.25,-0.1221589230938449,0.0975607218509868,-1.2521322185421007,-0.41269814849951536
10,1.0,0.5,-0.13264654346891613,0.09134792322010775,-1.4521024539254945,-0.4350008391540493
